budget,model,prior_method,strategy,objective,solver,config,avg_decision_coverage,avg_density_phi,decision_D1_coverage,decision_D2_coverage,decision_D3_coverage,decision_D4_coverage,decision_D5_coverage,global_gr_coverage,redundancy_score,semantic_volume
250,BAAI/bge-m3,coreset,prior,graphcut,topk,prior/graphcut/topk,0.6494386033000422,0.06948692481613385,0.6418561187161337,0.6537408217495758,0.6375973273281811,0.6861668638842529,0.7384788424021068,0.6174048286173601,0.36335365966243566,-1.224162394866354
250,BAAI/bge-m3,coreset,prior,fl,topk,prior/fl/topk,0.6494386033000422,0.06948692481613385,0.6418561187161337,0.6537408217495758,0.6375973273281811,0.6861668638842529,0.7384788424021068,0.6174048286173601,0.36335365966243566,-1.224162394866354
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,mmr,greedy,prior/mmr/greedy,0.475821004375001,0.10204629468257134,0.4857250132639056,0.47507253373621994,0.46477885677517966,0.43345098084728334,0.5919772434653,0.44777736873624996,0.06695442685620191,-0.017469934587380546
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,graphcut,greedy,prior/graphcut/greedy,0.47750759889386307,0.10204003108138184,0.4875314900896807,0.4761207891660715,0.46800800117055485,0.43345098084728334,0.5919772434653,0.44999283394853307,0.06676153097310508,-0.0173808069115571
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,fl,greedy,prior/fl/greedy,0.7582624758110413,0.055798266698026434,0.7553079189603962,0.7585511770164869,0.7541573198510173,0.72751613218325,0.6987652584107594,0.7499499539922095,0.2770102116683463,-0.20460656913283728
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,mmr,cost_norm,prior/mmr/cost_norm,0.5686396509820164,0.08146972372635918,0.5640119115761023,0.5746375106393562,0.5616993559877604,0.5509246268421536,0.5919772434653,0.5515705216412629,0.11174708007360404,-0.034135947350995045
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,graphcut,cost_norm,prior/graphcut/cost_norm,0.5684747462875657,0.0815624478888118,0.5639831269120739,0.5745129462306194,0.560230636880539,0.5510194800583333,0.5919772434653,0.5529872655629378,0.11143154823133405,-0.03458846545390127
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,fl,cost_norm,prior/fl/cost_norm,0.7701055739298623,0.05619141911947221,0.769432768199764,0.7690005298627923,0.7622184543226797,0.7585065314745627,0.692744740232744,0.7596692844291227,0.37430523444880853,-0.5853077837788798
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,dpp,dpp,prior/dpp/dpp,0.3940045945321242,0.1121542524581529,0.386556816691228,0.39840500504641385,0.39450942239275333,0.33928809923176284,0.3780138655745816,0.3574789817564573,0.17440518373096325,-0.08152864732738085
250,NovaSearch/stella_en_1.5B_v5,coreset,prior,mmr,topk,prior/mmr/topk,0.36009661193969006,0.11500162316732249,0.35137796943158855,0.36213543157584105,0.3549579875470402,0.34645785949768454,0.3780138655745816,0.3229895886743818,0.2908428097670933,-1.478449993866942
